"","","Project Name","Sub-Project","Short Description","Link to Presentation","Location (Google Maps Link)","Notes","Acres of Land","Units / sqft","Type of Return","Cost to Build","Total Sales / 
Annual Revenue","Total Profit / 
Annual profit","Time to build (yrs)","Projected 
IRR","Development Stage","Capital Status","Capital Target Raise","Capital 
Raised","Funding Progress","Anchor Capital","Market Comps","Pref (if applicable)","","","","","","","","","","","",""
"","","Altitude","Residential, Commercial, Hospitality","1,500 Units Resort","https://drive.google.com/file/d/1MV3bEzr0BamDVD8fN3ysa2ynUkvanZ06/view?usp=sharing","https://maps.app.goo.gl/5NnpC6Upt1d1NU8g6","hotels, condos, townhouses, pools, lagoons","126 ACRES, 103 ACRES USABLE","1500 UNITS","Built to sell","$375,000,000","$1,000,000,000","$625,000,000","3","38.67%","Entitled","Pre-Raise","$375,000,000","$0","0%","","","","","","","","","","","","","","",""
"","","Camp Bay Estates","Residential","16-Unit house lots with private pool","https://drive.google.com/open?id=1rR_HGcswonRvF56HM9GXIvyAQBdG_86i&usp=drive_fs","https://maps.app.goo.gl/PEdXZMWcdJFzTuFCA","3 minute walk from beach, houses go for $2-3MM, 5-6 bedrooms, 16 houses total, 9 built already; No 5 goes for 1.8M, no 13 for 2.2M, No 2 for 1.8M, No 14 for 2M.","8 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","16 HOME LOTS: POOL & GARAGE","Built to sell","$3,568,000","$4,800,000","$1,232,000","0.7","52.76%","Vertical Development","Majority Funded","$3,568,000","$0","0%","","","","","","","","","","","","","","",""
"","","Camp Bay Estates","Residential","80-Unit Condos Las Verandas","https://drive.google.com/open?id=1rR_HGcswonRvF56HM9GXIvyAQBdG_86i&usp=drive_fs","https://maps.app.goo.gl/PEdXZMWcdJFzTuFCA","Few condos sold","8 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","80 UNIT CONDOS: PENTHOUSE UNITS INCL. PLUNGE POOL & HOT TUB, 290-2450 SQFT","Built to sell","$30,910,000","$48,925,000","$18,015,000","2","25.81%","Platted","Open for Allocation","$30,910,000","$0","0%","","","","","","","","","","","","","","",""
"","","Camp Bay Estates","Residential","24-Unit Condos","https://drive.google.com/open?id=1rR_HGcswonRvF56HM9GXIvyAQBdG_86i&usp=drive_fs","https://maps.app.goo.gl/PEdXZMWcdJFzTuFCA","Sold out.","8 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","24 UNIT CONDOS: ROOFTOP POOL, 1191-1340 SQFT","Built to sell","$7,084,000","$15,600,000","$8,516,000","1.25","88.05%","Infrasturcture / Horizontal","Fully Funded","$7,084,000","$7,084,000","100%","","","","","","","","","","","","","","",""
"","","Caribbean Bliss","Commercial","Hospital","https://drive.google.com/open?id=1UbuvLLyHTSzXOfIr6MeAb2tzHhnPRvOf&usp=drive_fs","https://maps.app.goo.gl/97rx96PgTzeoGHVa7","","10 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","","Residual Cashflow / Rent","$28,000,000","","$7,000,000","1.5","35.73%","Land Banking","Pre-Raise","$28,000,000","$0","0%","","","","","","","","","","","","","","",""
"","","Caribbean Bliss","Entertainment","Sports Stadium","https://drive.google.com/open?id=1UbuvLLyHTSzXOfIr6MeAb2tzHhnPRvOf&usp=drive_fs","https://maps.app.goo.gl/97rx96PgTzeoGHVa7","Athletic stadium allowing for professional soccer teams to play, XX seats in the stadium, youth focused education in sports., he is sending it over to me tight now.","10 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","","Residual Cashflow / Rent","$80,500,000","$50,000,000","$25,000,000","1.5","45.49%","Land Banking","Pre-Raise","$0","$0","","","","","","","","","","","","","","","",""
"","","Caribbean Bliss","Residential","33 Home Lots","https://drive.google.com/open?id=1UbuvLLyHTSzXOfIr6MeAb2tzHhnPRvOf&usp=drive_fs","https://maps.app.goo.gl/97rx96PgTzeoGHVa7","Helicopter pad, 33 houses, 6 sold, 1 built, above is national park, residential style, 33 homes cost of homes at 600000, lots go for 200000, 16 lots only left","10 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","33 HOME LOTS
1200 SQFT HOME BUILD MINIMUM","Built to sell","$26,400,000","$49,550,000","$23,150,000","1.25","65.48%","Vertical Development","Open for Allocation","$26,400,000","$1,200,000","5%","","","","","","","","","","","","","","",""
"","","Cliffside","Entertainment","Day Use Bungalows for cruise ship tourism","https://drive.google.com/open?id=1eXrOSk1SAOKpmomhEifFRyUpsvzcgPwQ&usp=drive_fs","https://maps.app.goo.gl/k633d7eyJn83uNNV8","Luxury day location for Ritz Carlton Collection guests, 28 bungalows with tv, showers & a/c, cattamerans, ships, lux branded resort, all of the luxury toys, tower @ top

i event a month, concert, fireside, charge 300ppl with 50 dolla rticket, 4 days a week 110 dollars, 150 cruiseshippers.","1.8 ACRES","22 DAY BED BUNGALOWS - 4 VIP SUITES","Residual Cashflow / Rent","$8,500,000","","$3,432,000","1.25","49.57%","Entitled","Open for Allocation","","","","","","","","","","","","","","","","","",""
"","","Cliffside","Residential","80 unit condo","https://drive.google.com/open?id=1eXrOSk1SAOKpmomhEifFRyUpsvzcgPwQ&usp=drive_fs","https://maps.app.goo.gl/k633d7eyJn83uNNV8","Oceanfront condos with private community pool, ocean view, 790-2450 sqft size units","2.4 ACRES FOR THE ENTIRE PROJECT","80 UNIT CONDO BUILDING","Built to sell","$29,250,000","$45,000,000","$15,750,000","1.5","33.27%","Entitled","Open for Allocation","","","","","","","","","","","","","","","","","",""
"","","Cruise Port Beach Club","Entertainment","200,000 sqft beach club for cruise ship tourism","","","","","200,000 sqft beach club","Residual Cashflow / Rent","$40,000,000","","$12,000,000","1.5","43.81%","Land Banking","Open for Allocation","$40,000,000","$0","0%","","","","","","","","","","","","","","",""
"","","Cruise Port Terminal","Port","Cruise Ship Port for on avg 4 ships per week on East End","","","Port for luxury cruise ships, biggest salt water aquarium in central america, jungle spa, tree houses are for day trippers, contract: putting in gondolas for $110MM stops: port, condos & beach front beach club, 90/10 split until paid off the 60/40, 3 ships at a time 240 meters - 1500 people each, existing contracts: Ritz & MSC, ship that comes in each pays 100,000 per visit on average, 3 boats a day, 4 days a week, high season 6 days a week, low seasons 1 boat a week.","25 ACRES CRUISE PORT AND COMMERCIAL","","Residual Cashflow / Rent","$210,000,000","","$24,960,000","5","9.70%","Entitled","Fully Funded","$210,000,000","$210,000,000","100%","","","","","","","","","","","","","","",""
"","","La Champa","Residential","178 Condo Units with entertainmetn areas and private yacht port","https://drive.google.com/open?id=1ZWCZab5631_KKqAamNEBvP-sJFjxox2_&usp=drive_fs","https://maps.app.goo.gl/7VNuymnkoUpG1pGb6","Water front, inland marina for 33 boat slips - 4 for 60' & 29 for 36', 200 unit condo complex with pool & restaurant, parking pool, bars, over water bungalows (8), dipping pool, shopping center, designed to be full-time residential, trade school + indoor gym, retail is publicly accessible","7.6 ACRES OF PRIME LAND","178 UNITS: 800-2000 SQFT","Built to sell","$60,496,000","$106,800,000","$46,304,000","2","32.87%","Platted","Open for Allocation","$106,800,000","$0","0%","","","","","","","","","","","","","","",""
"","","Lending Company","Banking","Lending mortages for residential house buyers and payment operations on the island","n/a, not yet planned","","4 different revenue streams: 
1) Real Estate Mortgages, 2) Small Business Loans 3) Payments & Merchant Services 4) Asset Management","NOT YET DETERMINED","","Residual Cashflow / Rent","$50,000,000","","$3,000,000","1","5.61%","Entitled","Open for Allocation","$50,000,000","$0","0%","","","","","","","","","","","","","","",""
"","","Lime Cay","Entertainment","Day Use Cabanas on a separate island for cruise ship tourism","","https://maps.app.goo.gl/qhHbCEsiNwharvrA8?g_st=ic","33 Cabanas, yacht for 60 slips, 60 keys boutique hotel, 5 high end restaurants, power, sewage & water are done

5.2 extra land, 5M, ","10 ACRES WITH 7.6 ACRES USABLE","","Residual Cashflow / Rent","$26,000,000","$80,000,000","$24,000,000","1.5","138.46%","Platted","Open for Allocation","$26,000,000","$0","0%","","","","","","","","","","","","","","",""
"","","Lime Cay","Casino","Casino on separate island near cruise ship terminal","","https://maps.app.goo.gl/qhHbCEsiNwharvrA8?g_st=ic","26,000 sqft casino, 4 storeys, 6500000","","","Residual Cashflow / Rent","$20,000,000","$58,000,000","$19,000,000","1.5","142.50%","Land Banking","Pre-Raise","$20,000,000","$0","0%","","","","","","","","","","","","","","",""
"","","La Champa","Port","Marina and Yacht","","","never sell that, you cashflow that, 84 * 800 per slip per month, this is a cash cow like crazy, never sell the yacht spaces, yachts coming from miami, florida, they pay 500 to 1,0000 against their hookups.110ft ones, HOA 37500 take that amount","","","Residual Cashflow / Rent","$4,830,000","","$1,718,900","1.5","53.38%","","","$4,830,000","","0%","","","","","","","","","","","","","","",""
"","","Oceana","Residential","14 Unit Condos, biult to sell","","https://maps.app.goo.gl/d3PwoEu1GwRRtyNF6","Condos already existing","100 ACRES OF PRIME LAND WITH 3 ACRES PRIVATE BEACH","14 CONDO UNITS","Built to sell","$14,000,000","$25,200,000","$11,200,000","0.9","92.15%","Platted","Partially Funded","$14,000,000","","0%","","","","","","","","","","","","","","",""
"","","Oceana","Residential","14 Unit Condos, rental","","https://maps.app.goo.gl/d3PwoEu1GwRRtyNF6","Condos already existing","100 ACRES OF PRIME LAND WITH 3 ACRES PRIVATE BEACH","14 CONDO UNITS","Residual Cashflow / Rent","$14,000,000","","$5,110,000","1","34.63%","Platted","Partially Funded","","","","","","","","","","","","","","","","","",""
"","","Oceana","Hospitality, Healthcare","48 room Boutique Hotel with Longevity Clinic","","https://maps.app.goo.gl/d3PwoEu1GwRRtyNF6","boutique hotel, longevity clinic, 3 acre island for private events, next to Sea Breeze","100 ACRES OF PRIME LAND WITH 3 ACRES PRIVATE BEACH","48 UNIT BOUTIQUE HOTEL","Residual Cashflow / Rent","$16,000,000","$5,000,000","$3,000,000","1.5","28.12%","Platted","Partially Funded","","","","","","","","","","","","","","","","","",""
"","","Oceana","Hospitality","164 room hotel","","https://maps.app.goo.gl/d3PwoEu1GwRRtyNF6","flagship hotel with spa, gym, beach front access etc.","100 ACRES OF PRIME LAND WITH 3 ACRES PRIVATE BEACH","254 UNIT BOUTIQUE HOTEL","Residual Cashflow / Rent","$60,000,000","$18,000,000","$10,800,000","1.5","27.00%","Platted","Partially Funded","","","","","","","","","","","","","","","","","",""
"","","Pristine Bay","Residential","Condo and penthouses","https://drive.google.com/open?id=1SWnFwC-eroc1-8hbH-z9rAD7nP1u0B8X&usp=drive_fs","https://maps.app.goo.gl/onViaUQK4SfTbv1L9","Located in the prestigious Pristine Bay community, this exclusive development features two modern condo buildings with 76 total units. Each residence offers sweeping views of Roatán’s North Shore and the world-class Black Pearl Golf Course. The project also includes four spacious 2,500 sq ft penthouse units, each with a private pool. Owners enjoy access to Pristine Bay’s resort-style amenities, including a private beach, beach club, restaurants, dive shop, tennis courts, golf course, putting green, community pool, and 24/7 security. Set within a thriving gated community, it offers effortless island living with luxury, leisure, and lifestyle at your doorstep.","","4 units, build community pool, 76 units

76 total condos, 4 penthouses.","Built to sell","$22,800,000","$57,000,000","$34,200,000","2.2","51.66%","Vertical Development","Fully Funded","","","","","","","","","","","","","","","","","",""
"","","Sea Breeze","Residential","Condo and homes","https://drive.google.com/open?id=1dZzdluKejwQ46ac6yUDNt30GFVIiQCOR&usp=drive_fs","https://maps.app.goo.gl/KyJzqT2nni8NYECv8","358 homes, 8 miles of hiking trails, 6 miles of road, gated, 2000 residences, mountain terrain, largest dev on the island, private marina with 84 slips, yacht club, beach & restaurant, 120,000 swft of commercial space, 540 unit condo, luxury branded, hill-top 7 buildings, roof top bar, bowling, pool, mini-golf next to a pool, school next door, sports center, roman spa","167 ACRES WITH 84 SLIP MARINA","540 CONDO UNITS AND
358 HOME LOTS","Built to sell","$135,380,000","$396,000,000","$260,620,000","4","30.78%","Platted","Open for Allocation","","","","","","","","","","","","","","","","","",""
"","","Seabreeze","Commercial","Grocery Store, Bank, Offices, Restaurant","","","commercial district, 20,000 sqft grocery, bank 2500, offices 3 x 5,000 restaurant, 6 x offices at 2,000.","3.5 ACRES","","Residual Cashflow / Rent","$12,000,000","","$1,200,000","4","8.65%","Platted","Open for Allocation","","","","","","","","","","","","","","","","","",""
"","","Seabreeze","Residential","20 Unit Condos","","","20 units each","4.0 ACRES,  ALL 7 BUILDINGS","20 CONDO UNITS","Built to sell","$35,000,000","$70,000,000","$35,000,000","1.75","48.60%","Platted","Open for Allocation","","","","","","","","","","","","","","","","","",""
"","","Seabreeze waterfront condos","Residential","Waterfront Condos","","","5 buildings 50 units each, he is sending it to me., started to build, 30 ppl purchase units, cost 10,0000 to maintain it, rest is profit.","","400 UNITS","Built to sell","","","","4","","Platted","Open for Allocation","","","","","","","","","","","","","","","","","",""
"","","Sunset Vista","Residential","44-unit house lots","https://drive.google.com/open?id=1YOHwILMVWg5IMSnw-7V3-ERv9M8BoObF&usp=drive_fs","https://maps.app.goo.gl/wnWnMm6FnRBn4CNT8","44 lots sold out @ $250k - $400k, reselling some of these, building house @ $500k, $30M available for private leaders, 28 condos @ top of mountain, next to this Michael Douglas is building a beach club","7.8 ACRES OF PRIME LAND FOR ENTIRE PROJECT, 9.4 ACRES TOTAL LAND","44 HOME LOTS","Built to sell","$37,900,000","$74,800,000","$36,900,000","1.5","57.34%","Vertical Development","Majority Funded","","","","","","","","","","","","","","","","","",""
"","","Sunset Vista","Residential","24 Unit Condo","https://drive.google.com/open?id=1YOHwILMVWg5IMSnw-7V3-ERv9M8BoObF&usp=drive_fs","","ths was amended to 24 units instead of 32, 2 units sold, 650 + 750.","7.8 ACRES OF PRIME LAND FOR ENTIRE PROJECT","24 UNIT CONDO BUILDING WITH INCREDIBLE
VIEWS","Built to sell","$6,665,000","$15,600,000","$8,935,000","1.25","97.45%","Infrasturcture / Horizontal","Fully Funded","","","","","","","","","","","","","","","","","",""
"","","Turquoise Bay","Residential","12 Houses","https://drive.google.com/open?id=1oen7v38PPQDKJSIuzqzajytTCItv4byd&usp=drive_fs","","Ideally situated within an exclusive 12-lot subdivision, Turquoise Bay offers a rare chance to own in one of Roatán’s most peaceful enclaves. One remaining lot includes a 3,400 sq ft home with 4 bedrooms, 4.5 bathrooms, a pool, and hot tub, priced at $950,000. A second option features a 2,840 sq ft 4-bedroom, 4-bathroom home with a pool and hot tub, plus a separate 2,400 sq ft 3-bedroom, 3-bathroom home and 2-car garage. Both are offered together at $1,700,000.","30-ACRES OF TROPICAL HILLSIDE","12 individual house lots with pool","Built to sell","$6,241,000","$14,400,000","$8,159,000","1.5","74.61%","Sold Out","Fully Funded","$6,241,000","$6,241,000","100%","","","","","","","","","","","","","","",""
"","","Seabreeze","Entertainment","Spa, Gym, Bowling Alley, Gold Simulators, Arcade Gaming, bars and restaurants","","","15,000 sqft for the spa, gym is 15,000 sqft, 15,000 for bowling alley, golf simultors, arcade etc; top floor is 12,000 bar and retairants.","3.5 acres","","Residual Cashflow / Rent","$24,000,000","$32,000,000","$8,500,000","3","24.87%","Platted","Pre-Raise","","","","","","","","","","","","","","","","","",""